Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, тыс. рублей;Октябрь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;34 081 375 159,00;33 860 495 735,00;220 879 424,00;0,65
2;0;ВТБ;1000;Санкт-Петербург и обл.;16 520 606 342,00;16 252 903 944,00;267 702 398,00;1,65
3;0;Газпромбанк;354;Москва и обл.;7 561 422 252,00;7 511 308 199,00;50 114 053,00;0,67
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;5 010 835 598,00;5 075 380 220,00;-64 544 622,00;-1,27
5;0;Альфа-Банк;1326;Москва и обл.;4 553 936 508,00;4 408 340 461,00;145 596 047,00;3,30
6;0;Россельхозбанк;3349;Москва и обл.;3 823 292 449,00;3 790 943 834,00;32 348 615,00;0,85
7;0;Московский Кредитный Банк;1978;Москва и обл.;3 033 659 663,00;3 055 383 552,00;-21 723 889,00;-0,71
8;0;Банк Открытие;2209;Москва и обл.;2 932 396 467,00;2 825 878 786,00;106 517 681,00;3,77
9;0;Совкомбанк;963;Костромская обл.;1 608 851 564,00;1 633 487 599,00;-24 636 035,00;-1,51
10;3;ЮниКредит Банк;1;Москва и обл.;1 448 216 079,00;1 346 597 013,00;101 619 066,00;7,55
11;-1;Райффайзенбанк;3292;Москва и обл.;1 437 518 264,00;1 460 825 989,00;-23 307 725,00;-1,60
12;0;Траст;3279;Москва и обл.;1 396 488 228,00;1 394 324 928,00;2 163 300,00;0,16
13;-2;Росбанк;2272;Москва и обл.;1 382 394 156,00;1 400 036 683,00;-17 642 527,00;-1,26
14;0;Россия;328;Санкт-Петербург и обл.;1 058 200 753,00;1 072 446 747,00;-14 245 994,00;-1,33
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;910 683 704,00;909 902 292,00;781 412,00;0,09
16;0;Санкт-Петербург;436;Санкт-Петербург и обл.;777 677 600,00;761 727 012,00;15 950 588,00;2,09
17;0;Тинькофф Банк;2673;Москва и обл.;774 297 014,00;761 534 398,00;12 762 616,00;1,68
18;0;Ситибанк;2557;Москва и обл.;717 098 954,00;705 749 474,00;11 349 480,00;1,61
19;0;Ак Барс;2590;Татарстан;638 714 255,00;628 839 155,00;9 875 100,00;1,57
20;1;БМ-Банк;2748;Москва и обл.;617 142 680,00;560 672 511,00;56 470 169,00;10,07
21;2;Новикомбанк;2546;Москва и обл.;572 872 683,00;545 179 084,00;27 693 599,00;5,08
22;-2;СМП Банк;3368;Москва и обл.;569 527 241,00;576 862 935,00;-7 335 694,00;-1,27
23;-1;Банк Уралсиб;30;Москва и обл.;554 177 495,00;552 457 395,00;1 720 100,00;0,31
24;0;Почта Банк;650;Москва и обл.;524 254 193,00;542 549 942,00;-18 295 749,00;-3,37
