Регион: все регионы
Показатель: Капитал (по форме 123)

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, тыс. рублей;Октябрь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;4 537 146 347,00;4 873 464 994,00;-336 318 647,00;-6,90
2;0;ВТБ;1000;Санкт-Петербург и обл.;1 675 381 610,00;1 662 669 765,00;12 711 845,00;0,76
3;0;Газпромбанк;354;Москва и обл.;746 143 438,00;746 440 755,00;-297 317,00;-0,04
4;0;Альфа-Банк;1326;Москва и обл.;614 809 690,00;612 922 431,00;1 887 259,00;0,31
5;0;Россельхозбанк;3349;Москва и обл.;520 834 625,00;507 453 186,00;13 381 439,00;2,64
6;0;Банк Открытие;2209;Москва и обл.;355 685 855,00;358 641 481,00;-2 955 626,00;-0,82
7;0;Московский Кредитный Банк;1978;Москва и обл.;288 458 806,00;271 793 172,00;16 665 634,00;6,13
8;0;Промсвязьбанк;3251;Москва и обл.;246 687 960,00;242 334 396,00;4 353 564,00;1,80
9;0;Райффайзенбанк;3292;Москва и обл.;204 415 495,00;200 008 119,00;4 407 376,00;2,20
10;1;Совкомбанк;963;Костромская обл.;201 385 759,00;189 239 123,00;12 146 636,00;6,42
11;-1;ЮниКредит Банк;1;Москва и обл.;199 580 270,00;197 368 837,00;2 211 433,00;1,12
12;0;Росбанк;2272;Москва и обл.;170 880 349,00;168 723 689,00;2 156 660,00;1,28
13;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;143 131 239,00;140 873 710,00;2 257 529,00;1,60
14;0;Тинькофф Банк;2673;Москва и обл.;125 588 120,00;123 913 101,00;1 675 019,00;1,35
15;0;Почта Банк;650;Москва и обл.;99 189 843,00;99 702 214,00;-512 371,00;-0,51
16;0;Россия;328;Санкт-Петербург и обл.;90 798 900,00;91 636 271,00;-837 371,00;-0,91
17;0;Пересвет;2110;Москва и обл.;87 939 825,00;87 711 781,00;228 044,00;0,26
18;0;Банк ДОМ.РФ;2312;Москва и обл.;86 410 881,00;86 577 868,00;-166 987,00;-0,19
19;0;Санкт-Петербург;436;Санкт-Петербург и обл.;84 053 554,00;85 227 343,00;-1 173 789,00;-1,38
20;0;Национальный Клиринговый Центр;3466;Москва и обл.;77 319 695,00;76 130 581,00;1 189 114,00;1,56
21;1;БМ-Банк;2748;Москва и обл.;77 235 326,00;70 396 056,00;6 839 270,00;9,72
22;-1;Ак Барс;2590;Татарстан;71 299 658,00;73 960 669,00;-2 661 011,00;-3,60
23;2;Ситибанк;2557;Москва и обл.;62 686 403,00;60 807 119,00;1 879 284,00;3,09
24;2;Банк Уралсиб;30;Москва и обл.;60 525 152,00;60 110 762,00;414 390,00;0,69
25;-1;Новикомбанк;2546;Москва и обл.;59 866 883,00;61 946 774,00;-2 079 891,00;-3,36
26;-3;Хоум Кредит Банк;316;Москва и обл.;59 330 559,00;64 208 411,00;-4 877 852,00;-7,60
27;0;СМП Банк;3368;Москва и обл.;55 970 718,00;54 891 596,00;1 079 122,00;1,97
28;0;РНКБ;1354;Симферополь;54 356 607,00;53 518 108,00;838 499,00;1,57
29;1;МТС Банк;2268;Москва и обл.;37 510 793,00;37 471 230,00;39 563,00;0,11
30;2;Роскосмосбанк;2989;Москва и обл.;37 371 210,00;37 182 494,00;188 716,00;0,51
31;2;ОТП Банк;2766;Москва и обл.;34 658 616,00;34 817 735,00;-159 119,00;-0,46
32;2;Банк Зенит;3255;Москва и обл.;34 421 897,00;34 760 593,00;-338 696,00;-0,97
33;-2;Русский Стандарт;2289;Москва и обл.;33 465 075,00;37 293 084,00;-3 828 009,00;-10,26
34;1;Ренессанс Кредит;3354;Москва и обл.;32 576 025,00;32 302 155,00;273 870,00;0,85
35;3;Росэксимбанк;2790;Москва и обл.;30 830 128,00;30 708 145,00;121 983,00;0,40
36;5;Восточный Банк;1460;Амурская обл.;30 497 175,00;30 135 287,00;361 888,00;1,20
37;-1;Абсолют Банк;2306;Москва и обл.;30 348 298,00;31 477 197,00;-1 128 899,00;-3,59
38;-1;Дж. П. Морган Банк;2629;Москва и обл.;29 952 301,00;31 251 912,00;-1 299 611,00;-4,16
39;0;ЦентроКредит;121;Москва и обл.;29 120 768,00;30 675 963,00;-1 555 195,00;-5,07
40;-11;ИНГ Банк;2495;Москва и обл.;26 893 016,00;38 511 852,00;-11 618 836,00;-30,17
41;1;Возрождение;1439;Москва и обл.;26 675 613,00;28 903 459,00;-2 227 846,00;-7,71
42;1;МСП Банк;3340;Москва и обл.;26 534 594,00;26 477 502,00;57 092,00;0,22
43;1;Транскапиталбанк;2210;Москва и обл.;25 318 303,00;25 097 568,00;220 735,00;0,88
44;1;Аверс;415;Татарстан;24 472 563,00;24 409 944,00;62 619,00;0,26
45;1;Сетелем Банк;2168;Москва и обл.;22 833 333,00;23 603 378,00;-770 045,00;-3,26
46;2;РН Банк;170;Москва и обл.;22 784 434,00;22 768 979,00;15 455,00;0,07
47;0;Русфинанс Банк;1792;Самарская обл.;22 737 766,00;22 875 895,00;-138 129,00;-0,60
48;-8;Нордеа Банк;3016;Москва и обл.;22 196 822,00;30 266 121,00;-8 069 299,00;-26,66
