Регион: все регионы
Показатель: Рентабельность капитала

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
1;0;Мобильная карта;3522;Санкт-Петербург и обл.;261,76;267,91;-6,15;
2;396;Московский Индустриальный Банк;912;Москва и обл.;96,59;-43,24;139,83;
3;-1;Расчетные Решения;3524;Москва и обл.;80,35;81,55;-1,20;
4;0;Вестерн Юнион ДП Восток;2726;Москва и обл.;54,11;56,08;-1,97;
5;-2;МБА-Москва;3395;Москва и обл.;51,99;57,25;-5,26;
6;0;Киви Банк;2241;Москва и обл.;51,21;51,55;-0,34;
7;-2;Моби.Деньги;3523;Москва и обл.;47,30;53,59;-6,29;
8;0;РИБ;2749;Москва и обл.;45,15;44,35;0,80;
9;0;Альфа-Банк;1326;Москва и обл.;40,36;44,02;-3,66;
10;-3;Онего;2484;Карелия;38,08;44,87;-6,79;
11;3;Сетевая Расчетная Палата;3332;Татарстан;37,10;33,58;3,52;
12;5;ЮMoney;3510;Россия;36,03;32,45;3,58;
13;-3;Национальный Расчетный Депозитарий;3294;Москва и обл.;33,77;38,97;-5,20;
14;25;Голдман Сакс Банк;3490;Москва и обл.;33,09;20,13;12,96;
15;-3;Элекснет;3314;Москва и обл.;33,04;36,44;-3,40;
16;-5;Внешфинбанк;3173;Краснодарский край;30,97;37,05;-6,08;
17;-2;Модульбанк;1927;Костромская обл.;29,57;32,88;-3,31;
18;0;Тинькофф Банк;2673;Москва и обл.;29,15;29,81;-0,66;
19;4;Алтайкапиталбанк;2659;Алтайский край;28,87;26,06;2,81;
20;-1;Черноморский банк развития и реконструкции;3527;Симферополь;27,53;28,16;-0,63;
21;15;Платежи и Расчеты;3324;Самарская обл.;27,47;21,99;5,48;
22;0;Платежный Центр;3166;Новосибирская обл.;27,28;27,36;-0,08;
23;3;Банк Фридом Финанс;1143;Москва и обл.;25,79;24,05;1,74;
24;4;Таврический Банк;2304;Санкт-Петербург и обл.;25,18;23,47;1,71;
25;102;Красноярский Краевой Расчетный Центр;3483;Красноярский край;24,88;8,57;16,31;
26;38;БМ-Банк;2748;Москва и обл.;24,76;14,94;9,82;
27;28;Развитие-Столица;3013;Москва и обл.;23,81;16,19;7,62;
28;-1;Пойдем!;2534;Москва и обл.;23,69;23,58;0,11;
29;-4;Новикомбанк;2546;Москва и обл.;22,97;24,60;-1,63;
30;-14;РЕСО Кредит;3450;Москва и обл.;22,70;32,63;-9,93;
31;-2;Национальный Клиринговый Центр;3466;Москва и обл.;22,34;23,18;-0,84;
32;-11;НОКССбанк;3202;Волгоградская обл.;22,24;27,73;-5,49;
33;15;Аресбанк;2914;Москва и обл.;21,99;17,19;4,80;
34;-1;Снежинский;1376;Челябинская обл.;21,33;22,29;-0,96;
35;-11;Приморье;3001;Приморский край;21,32;24,66;-3,34;
36;-4;РН Банк;170;Москва и обл.;21,25;22,52;-1,27;
37;1;Руснарбанк;3403;Москва и обл.;21,07;20,80;0,27;
38;-4;Авангард;2879;Москва и обл.;21,03;22,11;-1,08;
39;-4;Экспобанк;2998;Москва и обл.;20,91;22,06;-1,15;
40;-3;Промтрансбанк;2638;Башкортостан;20,52;21,18;-0,66;
41;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;19,68;18,24;1,44;
42;-22;Тольяттихимбанк;2507;Самарская обл.;19,54;28,06;-8,52;
43;-3;Левобережный;1343;Новосибирская обл.;18,99;20,00;-1,01;
44;-3;Россия;328;Санкт-Петербург и обл.;18,81;18,45;0,36;
45;-15;Металлург;2877;Москва и обл.;18,45;23,03;-4,58;
46;-2;Держава;2738;Москва и обл.;18,40;17,63;0,77;
47;13;Кетовский Коммерческий Банк;842;Курганская обл.;18,00;15,46;2,54;
48;4;Райффайзенбанк;3292;Москва и обл.;17,72;16,61;1,11;
49;-4;Кольцо Урала;65;Свердловская обл.;17,62;17,59;0,03;
50;-3;Мурманский Расчетный Центр;3341;Мурманская обл.;16,92;17,24;-0,32;
51;-1;Екатеринбург;3161;Свердловская обл.;16,79;16,86;-0,07;
52;5;СберБанк;1481;Москва и обл.;16,61;16,13;0,48;
53;-7;Ланта-Банк;1920;Москва и обл.;16,24;17,48;-1,24;
54;20;Локо-Банк;2707;Москва и обл.;16,19;13,90;2,29;
55;3;Примсоцбанк;2733;Приморский край;15,84;15,86;-0,02;
56;0;Банк Открытие;2209;Москва и обл.;15,69;16,18;-0,49;
57;78;Энергобанк;67;Татарстан;15,48;7,42;8,06;
58;-9;РНКБ;1354;Симферополь;15,40;16,93;-1,53;
59;-6;Братский АНКБ;1144;Иркутская обл.;15,26;16,49;-1,23;
60;5;Норвик Банк;902;Кировская обл.;15,20;14,94;0,26;
61;0;БыстроБанк;1745;Удмуртия;15,16;15,42;-0,26;
62;-11;Интерпрогрессбанк;600;Москва и обл.;15,00;16,86;-1,86;
63;-4;ЮМК Банк;3495;Краснодарский край;14,78;15,74;-0,96;
64;2;Международный Финансовый Клуб;2618;Москва и обл.;14,72;14,79;-0,07;
65;3;Стройлесбанк;2995;Тюменская обл.;14,65;14,49;0,16;
