Регион: все регионы
Показатель: Кредитный портфель

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, тыс. рублей;Октябрь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 835 578 173,00;22 486 926 268,00;348 651 905,00;1,55
2;0;ВТБ;1000;Санкт-Петербург и обл.;11 058 024 225,00;10 920 007 844,00;138 016 381,00;1,26
3;0;Газпромбанк;354;Москва и обл.;5 085 197 779,00;4 969 167 875,00;116 029 904,00;2,33
4;0;Альфа-Банк;1326;Москва и обл.;2 808 762 478,00;2 713 234 836,00;95 527 642,00;3,52
5;0;Россельхозбанк;3349;Москва и обл.;2 681 897 973,00;2 679 623 428,00;2 274 545,00;0,08
6;0;Московский Кредитный Банк;1978;Москва и обл.;2 201 418 434,00;2 188 362 632,00;13 055 802,00;0,60
7;0;Банк Открытие;2209;Москва и обл.;1 622 996 429,00;1 609 287 320,00;13 709 109,00;0,85
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 612 653 572,00;1 596 795 733,00;15 857 839,00;0,99
9;0;Траст;3279;Москва и обл.;955 764 314,00;961 737 257,00;-5 972 943,00;-0,62
10;0;Райффайзенбанк;3292;Москва и обл.;857 994 438,00;842 837 568,00;15 156 870,00;1,80
11;1;Росбанк;2272;Москва и обл.;709 094 784,00;682 334 353,00;26 760 431,00;3,92
12;-1;ЮниКредит Банк;1;Москва и обл.;669 969 273,00;698 654 062,00;-28 684 789,00;-4,11
13;0;Совкомбанк;963;Костромская обл.;598 624 840,00;589 284 064,00;9 340 776,00;1,59
14;0;Россия;328;Санкт-Петербург и обл.;521 143 732,00;527 758 296,00;-6 614 564,00;-1,25
15;0;Санкт-Петербург;436;Санкт-Петербург и обл.;482 881 488,00;483 772 450,00;-890 962,00;-0,18
16;0;Почта Банк;650;Москва и обл.;444 681 242,00;440 417 677,00;4 263 565,00;0,97
17;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;443 596 789,00;439 929 674,00;3 667 115,00;0,83
18;0;Тинькофф Банк;2673;Москва и обл.;419 458 801,00;423 539 717,00;-4 080 916,00;-0,96
19;0;Новикомбанк;2546;Москва и обл.;416 627 638,00;421 061 303,00;-4 433 665,00;-1,05
20;0;Банк ДОМ.РФ;2312;Москва и обл.;299 499 111,00;277 972 134,00;21 526 977,00;7,74
21;0;Банк Уралсиб;30;Москва и обл.;268 122 726,00;276 331 635,00;-8 208 909,00;-2,97
22;0;Пересвет;2110;Москва и обл.;232 727 173,00;238 047 681,00;-5 320 508,00;-2,24
23;0;Ак Барс;2590;Татарстан;229 248 298,00;219 965 001,00;9 283 297,00;4,22
24;0;РНКБ;1354;Симферополь;197 495 557,00;194 593 636,00;2 901 921,00;1,49
25;0;Хоум Кредит Банк;316;Москва и обл.;183 210 172,00;185 833 071,00;-2 622 899,00;-1,41
26;0;Ситибанк;2557;Москва и обл.;166 584 077,00;174 382 338,00;-7 798 261,00;-4,47
27;0;Московский Индустриальный Банк;912;Москва и обл.;166 173 941,00;164 546 210,00;1 627 731,00;0,99
28;1;СМП Банк;3368;Москва и обл.;160 671 744,00;153 478 723,00;7 193 021,00;4,69
29;-1;Возрождение;1439;Москва и обл.;157 255 644,00;163 598 391,00;-6 342 747,00;-3,88
30;0;Восточный Банк;1460;Амурская обл.;148 639 288,00;149 082 424,00;-443 136,00;-0,30
31;0;Абсолют Банк;2306;Москва и обл.;145 764 770,00;147 971 044,00;-2 206 274,00;-1,49
32;0;Русский Стандарт;2289;Москва и обл.;144 261 093,00;145 855 324,00;-1 594 231,00;-1,09
33;0;Сетелем Банк;2168;Москва и обл.;142 558 244,00;143 281 425,00;-723 181,00;-0,50
