Регион: все регионы
Показатель: Вклады физических лиц

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, тыс. рублей;Октябрь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;14 048 491 686,00;14 207 111 292,00;-158 619 606,00;-1,12
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 483 223 765,00;4 497 084 540,00;-13 860 775,00;-0,31
3;0;Газпромбанк;354;Москва и обл.;1 352 767 437,00;1 390 045 814,00;-37 278 377,00;-2,68
4;0;Альфа-Банк;1326;Москва и обл.;1 332 268 443,00;1 338 992 288,00;-6 723 845,00;-0,50
5;0;Россельхозбанк;3349;Москва и обл.;1 261 541 486,00;1 252 845 402,00;8 696 084,00;0,69
6;0;Банк Открытие;2209;Москва и обл.;896 262 918,00;903 686 693,00;-7 423 775,00;-0,82
7;0;Райффайзенбанк;3292;Москва и обл.;589 230 014,00;579 047 008,00;10 183 006,00;1,76
8;0;Московский Кредитный Банк;1978;Москва и обл.;481 523 722,00;487 798 562,00;-6 274 840,00;-1,29
9;0;Совкомбанк;963;Костромская обл.;435 801 359,00;438 473 167,00;-2 671 808,00;-0,61
10;0;Тинькофф Банк;2673;Москва и обл.;411 536 395,00;402 284 154,00;9 252 241,00;2,30
11;0;Почта Банк;650;Москва и обл.;355 749 368,00;361 109 533,00;-5 360 165,00;-1,48
12;0;Росбанк;2272;Москва и обл.;307 538 439,00;315 089 042,00;-7 550 603,00;-2,40
13;0;ЮниКредит Банк;1;Москва и обл.;266 592 135,00;267 400 318,00;-808 183,00;-0,30
14;0;Санкт-Петербург;436;Санкт-Петербург и обл.;243 132 880,00;244 116 668,00;-983 788,00;-0,40
15;0;СМП Банк;3368;Москва и обл.;194 764 928,00;208 755 924,00;-13 990 996,00;-6,70
16;0;Банк Уралсиб;30;Москва и обл.;172 486 583,00;174 223 373,00;-1 736 790,00;-1,00
17;0;Московский Индустриальный Банк;912;Москва и обл.;163 975 597,00;168 332 950,00;-4 357 353,00;-2,59
18;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;163 709 758,00;162 335 323,00;1 374 435,00;0,85
19;0;Ситибанк;2557;Москва и обл.;159 291 828,00;159 104 598,00;187 230,00;0,12
20;0;Русский Стандарт;2289;Москва и обл.;151 121 404,00;151 617 474,00;-496 070,00;-0,33
21;0;Хоум Кредит Банк;316;Москва и обл.;140 947 704,00;147 583 207,00;-6 635 503,00;-4,50
22;0;Восточный Банк;1460;Амурская обл.;140 270 687,00;140 125 442,00;145 245,00;0,10
23;1;Россия;328;Санкт-Петербург и обл.;126 540 502,00;126 172 095,00;368 407,00;0,29
24;1;Абсолют Банк;2306;Москва и обл.;117 713 167,00;118 276 649,00;-563 482,00;-0,48
25;1;Ак Барс;2590;Татарстан;117 338 677,00;117 353 338,00;-14 661,00;-0,01
26;-3;Возрождение;1439;Москва и обл.;113 158 365,00;129 313 190,00;-16 154 825,00;-12,49
27;1;РНКБ;1354;Симферополь;105 462 330,00;105 539 484,00;-77 154,00;-0,07
28;-1;Банк Зенит;3255;Москва и обл.;105 089 821,00;106 365 123,00;-1 275 302,00;-1,20
29;0;МТС Банк;2268;Москва и обл.;103 388 895,00;104 980 522,00;-1 591 627,00;-1,52
30;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;102 605 500,00;103 684 663,00;-1 079 163,00;-1,04
31;0;Ренессанс Кредит;3354;Москва и обл.;91 197 234,00;90 639 075,00;558 159,00;0,62
32;3;Московский Областной Банк;1751;Москва и обл.;73 068 361,00;72 027 289,00;1 041 072,00;1,45
33;-1;Кредит Европа Банк;3311;Москва и обл.;72 579 688,00;74 355 609,00;-1 775 921,00;-2,39
34;0;Кубань Кредит;2518;Краснодарский край;72 404 353,00;72 216 923,00;187 430,00;0,26
35;-2;Центр-инвест;2225;Ростовская обл.;72 156 121,00;72 330 389,00;-174 268,00;-0,24
36;1;Транскапиталбанк;2210;Москва и обл.;65 683 288,00;67 830 012,00;-2 146 724,00;-3,16
37;-1;Запсибкомбанк;918;Тюменская обл.;62 995 636,00;70 125 973,00;-7 130 337,00;-10,17
38;0;ОТП Банк;2766;Москва и обл.;59 551 447,00;59 295 542,00;255 905,00;0,43
39;0;Инвестторгбанк;2763;Москва и обл.;55 297 209,00;56 470 114,00;-1 172 905,00;-2,08
40;0;Локо-Банк;2707;Москва и обл.;55 104 459,00;56 379 379,00;-1 274 920,00;-2,26
41;1;СКБ-Банк;705;Свердловская обл.;54 360 677,00;54 049 173,00;311 504,00;0,58
42;-1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;54 118 400,00;55 037 836,00;-919 436,00;-1,67
43;0;Банк ДОМ.РФ;2312;Москва и обл.;52 325 762,00;52 546 015,00;-220 253,00;-0,42
