Регион: все регионы
Показатель: Активы нетто / Кредиты физическим лицам

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, тыс. рублей;Октябрь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;8 238 971 344,00;8 044 811 919,00;194 159 425,00;2,41
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 345 280 502,00;3 293 583 156,00;51 697 346,00;1,57
3;0;Альфа-Банк;1326;Москва и обл.;842 439 335,00;811 423 620,00;31 015 715,00;3,82
4;0;Газпромбанк;354;Москва и обл.;691 265 476,00;690 853 149,00;412 327,00;0,06
5;0;Россельхозбанк;3349;Москва и обл.;524 971 991,00;509 208 380,00;15 763 611,00;3,10
6;0;Почта Банк;650;Москва и обл.;444 085 403,00;439 821 770,00;4 263 633,00;0,97
7;0;Банк Открытие;2209;Москва и обл.;439 653 177,00;423 075 021,00;16 578 156,00;3,92
8;0;Тинькофф Банк;2673;Москва и обл.;391 260 992,00;385 757 279,00;5 503 713,00;1,43
9;0;Росбанк;2272;Москва и обл.;369 583 319,00;365 225 656,00;4 357 663,00;1,19
10;0;Совкомбанк;963;Костромская обл.;322 042 165,00;317 303 031,00;4 739 134,00;1,49
11;0;Райффайзенбанк;3292;Москва и обл.;318 506 645,00;315 993 462,00;2 513 183,00;0,80
12;0;Хоум Кредит Банк;316;Москва и обл.;176 436 926,00;179 027 045,00;-2 590 119,00;-1,45
13;1;Банк Уралсиб;30;Москва и обл.;171 491 268,00;168 195 971,00;3 295 297,00;1,96
14;-1;ЮниКредит Банк;1;Москва и обл.;167 085 450,00;170 748 376,00;-3 662 926,00;-2,15
15;0;Банк ДОМ.РФ;2312;Москва и обл.;158 765 030,00;146 375 340,00;12 389 690,00;8,46
16;0;Сетелем Банк;2168;Москва и обл.;142 529 356,00;143 252 534,00;-723 178,00;-0,50
17;1;Московский Кредитный Банк;1978;Москва и обл.;132 273 306,00;130 330 502,00;1 942 804,00;1,49
18;-1;Русский Стандарт;2289;Москва и обл.;130 573 640,00;131 911 888,00;-1 338 248,00;-1,01
19;0;Русфинанс Банк;1792;Самарская обл.;129 540 067,00;129 875 432,00;-335 365,00;-0,26
20;0;Ренессанс Кредит;3354;Москва и обл.;127 511 372,00;129 555 338,00;-2 043 966,00;-1,58
21;0;Восточный Банк;1460;Амурская обл.;114 489 273,00;114 851 251,00;-361 978,00;-0,32
22;0;МТС Банк;2268;Москва и обл.;110 736 265,00;108 186 348,00;2 549 917,00;2,36
23;0;Санкт-Петербург;436;Санкт-Петербург и обл.;109 403 750,00;107 113 918,00;2 289 832,00;2,14
24;0;Абсолют Банк;2306;Москва и обл.;91 982 355,00;96 531 708,00;-4 549 353,00;-4,71
25;0;Возрождение;1439;Москва и обл.;86 723 492,00;88 987 791,00;-2 264 299,00;-2,54
26;0;Ак Барс;2590;Татарстан;83 310 433,00;80 598 694,00;2 711 739,00;3,36
27;0;ОТП Банк;2766;Москва и обл.;77 976 442,00;76 656 999,00;1 319 443,00;1,72
28;0;РН Банк;170;Москва и обл.;69 210 028,00;67 917 965,00;1 292 063,00;1,90
29;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;68 464 608,00;67 205 080,00;1 259 528,00;1,87
30;1;Кредит Европа Банк;3311;Москва и обл.;66 028 803,00;65 714 253,00;314 550,00;0,48
31;-1;Тойота Банк;3470;Москва и обл.;65 939 209,00;66 732 167,00;-792 958,00;-1,19
32;1;РНКБ;1354;Симферополь;63 626 034,00;61 473 721,00;2 152 313,00;3,50
33;-1;Запсибкомбанк;918;Тюменская обл.;59 569 303,00;61 521 015,00;-1 951 712,00;-3,17
34;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;59 392 117,00;56 752 616,00;2 639 501,00;4,65
35;0;Центр-инвест;2225;Ростовская обл.;56 092 841,00;55 749 272,00;343 569,00;0,62
36;0;Ситибанк;2557;Москва и обл.;47 662 602,00;47 960 852,00;-298 250,00;-0,62
37;0;Локо-Банк;2707;Москва и обл.;46 918 724,00;46 474 296,00;444 428,00;0,96
38;0;Банк Зенит;3255;Москва и обл.;46 083 084,00;44 960 943,00;1 122 141,00;2,50
39;0;РГС Банк;3073;Москва и обл.;45 637 719,00;41 505 160,00;4 132 559,00;9,96
40;0;БМВ Банк;3482;Москва и обл.;39 902 246,00;39 317 721,00;584 525,00;1,49
41;0;СМП Банк;3368;Москва и обл.;35 600 540,00;35 438 063,00;162 477,00;0,46
42;0;Фольксваген Банк Рус;3500;Москва и обл.;35 242 483,00;35 216 844,00;25 639,00;0,07
43;0;Россия;328;Санкт-Петербург и обл.;32 249 474,00;31 084 091,00;1 165 383,00;3,75
