Регион: все регионы
Показатель: Рентабельность активов-нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
1;0;Мобильная карта;3522;Санкт-Петербург и обл.;82,33;82,66;-0,33;
2;0;МБА-Москва;3395;Москва и обл.;34,16;36,44;-2,28;
3;0;Вестерн Юнион ДП Восток;2726;Москва и обл.;23,13;23,72;-0,59;
4;0;Расчетные Решения;3524;Москва и обл.;15,44;16,09;-0,65;
5;1;ЮMoney;3510;Россия;14,77;13,46;1,31;
6;-1;Элекснет;3314;Москва и обл.;12,64;13,84;-1,20;
7;1;Киви Банк;2241;Москва и обл.;11,87;11,83;0,04;
8;6;Платежи и Расчеты;3324;Самарская обл.;11,38;9,32;2,06;
9;-2;Внешфинбанк;3173;Краснодарский край;10,59;12,54;-1,95;
10;2;РИБ;2749;Москва и обл.;10,03;10,16;-0,13;
11;37;Красноярский Краевой Расчетный Центр;3483;Красноярский край;9,39;3,42;5,97;
12;-1;Моби.Деньги;3523;Москва и обл.;9,26;10,49;-1,23;
13;-3;РБА;3413;Москва и обл.;8,97;10,54;-1,57;
14;-5;НОКССбанк;3202;Волгоградская обл.;8,93;11,13;-2,20;
15;0;Платежный Центр;3166;Новосибирская обл.;8,41;8,39;0,02;
16;-3;Онего;2484;Карелия;8,31;10,10;-1,79;
17;-1;Унифондбанк;3416;Москва и обл.;8,06;8,06;0,00;
18;-1;ЮМК Банк;3495;Краснодарский край;6,66;7,22;-0,56;
19;-1;Сетевая Расчетная Палата;3332;Татарстан;6,36;6,90;-0,54;
20;0;Дальний Восток;3318;Приморский край;6,27;6,13;0,14;
21;0;Альфа-Банк;1326;Москва и обл.;5,50;6,00;-0,50;
22;4;Руснарбанк;3403;Москва и обл.;5,35;5,30;0,05;
23;21;Развитие-Столица;3013;Москва и обл.;5,07;3,56;1,51;
24;3;Тинькофф Банк;2673;Москва и обл.;4,83;4,95;-0,12;
25;54;Нальчик;695;Кабардино-Балкария;4,73;2,34;2,39;
26;10;Зираат Банк;2559;Москва и обл.;4,62;3,98;0,64;
27;-4;Металлург;2877;Москва и обл.;4,59;5,46;-0,87;
28;9;Тендер-Банк;2252;Москва и обл.;4,56;3,94;0,62;
29;-10;Тольяттихимбанк;2507;Самарская обл.;4,48;6,38;-1,90;
30;5;Алтайкапиталбанк;2659;Алтайский край;4,46;4,02;0,44;
31;-1;Держава;2738;Москва и обл.;4,38;4,20;0,18;
32;-1;Пойдем!;2534;Москва и обл.;4,24;4,20;0,04;
33;333;Московский Индустриальный Банк;912;Москва и обл.;4,22;-2,01;6,23;
34;-10;Платежный Стандарт;3530;Новосибирская обл.;4,12;5,44;-1,32;
35;14;Ермак;1809;Ханты-Мансийский АО — Югра;4,11;3,33;0,78;
36;-7;РН Банк;170;Москва и обл.;4,10;4,31;-0,21;
37;40;Голдман Сакс Банк;3490;Москва и обл.;3,99;2,38;1,61;
38;4;Ю Би Эс Банк;3463;Москва и обл.;3,97;3,69;0,28;
39;-7;Курган;2568;Курганская обл.;3,96;4,07;-0,11;
40;79;Система;2846;Москва и обл.;3,90;1,72;2,18;
41;-16;РЕСО Кредит;3450;Москва и обл.;3,85;5,32;-1,47;
42;-4;Экспобанк;2998;Москва и обл.;3,61;3,80;-0,19;
43;2;Стройлесбанк;2995;Тюменская обл.;3,60;3,55;0,05;
44;146;Алтынбанк;2070;Татарстан;3,46;0,94;2,52;
45;78;Энергобанк;67;Татарстан;3,46;1,66;1,80;
46;-3;Перспектива;3532;Омская обл.;3,45;3,66;-0,21;
47;4;ВУЗ-Банк;1557;Свердловская обл.;3,44;3,29;0,15;
48;-20;Саратов;330;Саратовская обл.;3,39;4,62;-1,23;
49;-3;Авангард;2879;Москва и обл.;3,34;3,53;-0,19;
