Регион: все регионы
Показатель: Чистая прибыль

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, тыс. рублей;Октябрь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;641 052 008,00;559 412 190,00;81 639 818,00;14,59
2;0;Альфа-Банк;1326;Москва и обл.;186 308 745,00;180 692 333,00;5 616 412,00;3,11
3;0;ВТБ;1000;Санкт-Петербург и обл.;52 348 965,00;52 193 737,00;155 228,00;0,30
4;0;Банк Открытие;2209;Москва и обл.;43 777 109,00;40 338 773,00;3 438 336,00;8,52
5;1;Райффайзенбанк;3292;Москва и обл.;29 611 676,00;24 955 993,00;4 655 683,00;18,66
6;-1;Тинькофф Банк;2673;Москва и обл.;27 834 985,00;25 363 014,00;2 471 971,00;9,75
7;0;Газпромбанк;354;Москва и обл.;21 229 815,00;21 388 317,00;-158 502,00;-0,74
8;0;Траст;3279;Москва и обл.;18 736 956,00;12 916 178,00;5 820 778,00;45,07
9;402;Московский Индустриальный Банк;912;Москва и обл.;14 963 793,00;-6 438 363,00;21 402 156,00;
10;3;БМ-Банк;2748;Москва и обл.;14 433 290,00;7 787 276,00;6 646 014,00;85,34
11;-1;Россия;328;Санкт-Петербург и обл.;13 907 806,00;12 239 648,00;1 668 158,00;13,63
12;-3;Национальный Клиринговый Центр;3466;Москва и обл.;13 752 555,00;12 785 473,00;967 082,00;7,56
13;-1;Росбанк;2272;Москва и обл.;12 422 723,00;9 490 853,00;2 931 870,00;30,89
14;-3;Новикомбанк;2546;Москва и обл.;10 937 630,00;10 464 981,00;472 649,00;4,52
15;1;ЮниКредит Банк;1;Москва и обл.;9 199 077,00;6 813 937,00;2 385 140,00;35,00
16;1;Санкт-Петербург;436;Санкт-Петербург и обл.;7 612 536,00;6 497 555,00;1 114 981,00;17,16
17;3;Всероссийский Банк Развития Регионов;3287;Москва и обл.;7 464 570,00;5 505 728,00;1 958 842,00;35,58
18;19;Московский Кредитный Банк;1978;Москва и обл.;6 968 366,00;2 504 242,00;4 464 124,00;178,26
19;3;Ситибанк;2557;Москва и обл.;6 933 457,00;5 073 499,00;1 859 958,00;36,66
20;18;Совкомбанк;963;Костромская обл.;6 838 132,00;2 433 369,00;4 404 763,00;181,02
21;-2;Банк Уралсиб;30;Москва и обл.;6 743 492,00;5 839 791,00;903 701,00;15,47
22;-4;РНКБ;1354;Симферополь;6 457 621,00;6 339 846,00;117 775,00;1,86
23;-2;Банк ДОМ.РФ;2312;Москва и обл.;5 583 325,00;5 214 510,00;368 815,00;7,07
24;-10;Почта Банк;650;Москва и обл.;5 390 339,00;7 086 471,00;-1 696 132,00;-23,93
