Регион: все регионы
Показатель: Просроченная задолженность в кредитном портфеле

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, тыс. рублей;Октябрь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;797 271 422,00;788 922 374,00;8 349 048,00;1,06
2;0;Траст;3279;Москва и обл.;714 882 499,00;716 622 645,00;-1 740 146,00;-0,24
3;0;ВТБ;1000;Санкт-Петербург и обл.;330 617 636,00;320 404 427,00;10 213 209,00;3,19
4;0;Банк Открытие;2209;Москва и обл.;203 202 911,00;205 530 488,00;-2 327 577,00;-1,13
5;0;Россельхозбанк;3349;Москва и обл.;167 677 822,00;172 587 560,00;-4 909 738,00;-2,84
6;0;Альфа-Банк;1326;Москва и обл.;148 935 724,00;156 493 887,00;-7 558 163,00;-4,83
7;0;Пересвет;2110;Москва и обл.;132 338 954,00;132 336 559,00;2 395,00;0,00
8;0;Газпромбанк;354;Москва и обл.;107 780 203,00;108 499 081,00;-718 878,00;-0,66
9;0;Московский Индустриальный Банк;912;Москва и обл.;95 069 943,00;92 895 991,00;2 173 952,00;2,34
10;0;БМ-Банк;2748;Москва и обл.;88 247 182,00;88 832 662,00;-585 480,00;-0,66
11;1;Московский Кредитный Банк;1978;Москва и обл.;55 405 296,00;54 299 080,00;1 106 216,00;2,04
12;-1;Роскосмосбанк;2989;Москва и обл.;55 089 838,00;54 601 705,00;488 133,00;0,89
13;0;Русский Стандарт;2289;Москва и обл.;51 237 916,00;51 330 141,00;-92 225,00;-0,18
14;0;Московский Областной Банк;1751;Москва и обл.;49 069 092,00;49 030 670,00;38 422,00;0,08
15;0;Инвестторгбанк;2763;Москва и обл.;46 941 510,00;47 076 401,00;-134 891,00;-0,29
16;0;Банк ДОМ.РФ;2312;Москва и обл.;45 311 181,00;45 772 620,00;-461 439,00;-1,01
17;0;Совкомбанк;963;Костромская обл.;45 055 218,00;44 936 212,00;119 006,00;0,26
18;0;Таврический Банк;2304;Санкт-Петербург и обл.;42 187 115,00;43 136 597,00;-949 482,00;-2,20
19;1;Почта Банк;650;Москва и обл.;38 536 611,00;36 750 321,00;1 786 290,00;4,86
20;-1;Тинькофф Банк;2673;Москва и обл.;37 969 013,00;37 385 391,00;583 622,00;1,56
21;0;Возрождение;1439;Москва и обл.;37 792 191,00;36 302 320,00;1 489 871,00;4,10
22;0;Банк Уралсиб;30;Москва и обл.;34 726 038,00;34 430 998,00;295 040,00;0,86
23;0;ЮниКредит Банк;1;Москва и обл.;32 100 948,00;31 211 249,00;889 699,00;2,85
24;0;Восточный Банк;1460;Амурская обл.;30 992 459,00;29 135 056,00;1 857 403,00;6,38
25;0;Росбанк;2272;Москва и обл.;27 093 353,00;27 464 873,00;-371 520,00;-1,35
26;0;Новикомбанк;2546;Москва и обл.;26 819 642,00;26 930 267,00;-110 625,00;-0,41
27;0;Санкт-Петербург;436;Санкт-Петербург и обл.;24 268 299,00;24 404 586,00;-136 287,00;-0,56
28;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;23 611 840,00;23 628 706,00;-16 866,00;-0,07
29;0;Россия;328;Санкт-Петербург и обл.;20 264 776,00;20 454 025,00;-189 249,00;-0,93
30;0;Ак Барс;2590;Татарстан;16 786 846,00;16 950 329,00;-163 483,00;-0,96
31;0;Райффайзенбанк;3292;Москва и обл.;16 644 802,00;16 294 837,00;349 965,00;2,15
32;0;МТС Банк;2268;Москва и обл.;16 019 856,00;16 018 901,00;955,00;0,01
33;0;Хоум Кредит Банк;316;Москва и обл.;12 973 433,00;13 085 614,00;-112 181,00;-0,86
34;1;Абсолют Банк;2306;Москва и обл.;12 641 094,00;12 322 632,00;318 462,00;2,58
35;-1;РНКБ;1354;Симферополь;12 607 810,00;12 416 073,00;191 737,00;1,54
36;0;ОТП Банк;2766;Москва и обл.;11 515 817,00;11 182 765,00;333 052,00;2,98
37;0;Банк Зенит;3255;Москва и обл.;9 972 601,00;10 009 363,00;-36 762,00;-0,37
38;1;РГС Банк;3073;Москва и обл.;9 914 752,00;9 831 388,00;83 364,00;0,85
