Регион: все регионы
Показатель: Уровень резервирования по кредитному портфелю

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2020, %;Октябрь, 2020, %;Изменение, Процентные пункты
1;0;Национальный Расчетный Депозитарий;3294;Москва и обл.;112,51;116,62;-4,11;
2;0;Банк Кредит Свисс;2494;Москва и обл.;100,00;100,00;0,00;
3;0;Вкабанк;1027;Астраханская обл.;100,00;100,00;0,00;
4;0;Деньги.Мэйл.Ру;3511;Москва и обл.;100,00;100,00;0,00;
5;0;Единая Расчетная Палата;384;Москва и обл.;100,00;100,00;0,00;
6;0;Металлург;2877;Москва и обл.;100,00;100,00;0,00;
7;0;Мурманский Расчетный Центр;3341;Мурманская обл.;100,00;100,00;0,00;
8;0;Премиум;3514;Москва и обл.;100,00;100,00;0,00;
9;0;Промсвязьинвест;2761;Дагестан;100,00;100,00;0,00;
10;1;Тольяттихимбанк;2507;Самарская обл.;94,72;93,13;1,59;
11;1;БМ-Банк;2748;Москва и обл.;92,73;92,77;-0,04;
12;2;Траст;3279;Москва и обл.;91,56;91,60;-0,04;
13;-3;Платина;2347;Москва и обл.;90,74;96,53;-5,79;
14;2;Санкт-Петербургский Банк Инвестиций;3468;Санкт-Петербург и обл.;87,80;87,29;0,51;
15;0;Сити Инвест Банк;3194;Санкт-Петербург и обл.;87,22;87,78;-0,56;
16;2;Евразийский Банк;969;Москва и обл.;82,12;81,91;0,21;
17;0;Развитие-Столица;3013;Москва и обл.;80,74;82,62;-1,88;
18;1;ФинТех;3499;Москва и обл.;73,81;73,81;0,00;
19;1;Народный Доверительный Банк;2374;Москва и обл.;72,88;72,66;0,22;
20;5;Альба Альянс;2593;Москва и обл.;65,45;64,66;0,80;
21;0;Финчер;3486;Москва и обл.;65,11;67,62;-2,51;
22;1;Платежный Центр;3166;Новосибирская обл.;65,11;65,11;0,00;
23;4;Финам Банк;2799;Москва и обл.;65,02;64,46;0,55;
24;0;Викинг;2;Санкт-Петербург и обл.;64,34;64,79;-0,45;
25;-3;Инкахран;3454;Москва и обл.;63,32;66,19;-2,87;
26;2;ЦентроКредит;121;Москва и обл.;63,17;64,19;-1,02;
27;2;ИРС;272;Москва и обл.;62,93;63,52;-0,59;
28;4;Севастопольский Морской Банк;3528;Севастополь;61,56;60,04;1,51;
29;2;Гарант-Инвест;2576;Москва и обл.;61,49;60,74;0,74;
30;0;Гута-Банк;256;Москва и обл.;60,68;60,84;-0,15;
31;5;Современные Стандарты Бизнеса;3397;Москва и обл.;58,00;55,08;2,92;
32;16;Банк ПСА Финанс Рус;3481;Москва и обл.;56,39;44,17;12,22;
33;1;Автоторгбанк;2776;Москва и обл.;56,26;56,95;-0,70;
34;1;Московский Индустриальный Банк;912;Москва и обл.;55,76;56,21;-0,45;
35;-2;Элекснет;3314;Москва и обл.;55,03;57,48;-2,45;
36;3;Генбанк;2490;Симферополь;50,16;49,52;0,64;
37;3;Земкомбанк;574;Ростовская обл.;50,10;49,43;0,67;
38;3;Капитал;575;Москва и обл.;50,00;48,93;1,07;
39;-1;Перспектива;3532;Омская обл.;50,00;50,00;0,00;
40;4;Москва-Сити;3247;Москва и обл.;49,84;47,75;2,09;
41;6;Спецстройбанк;236;Москва и обл.;49,47;44,75;4,72;
42;-5;Международный Коммерческий Банк;2524;Москва и обл.;48,61;50,40;-1,79;
43;2;Народный Инвестиционный Банк;2876;Самарская обл.;47,60;47,72;-0,12;
44;-1;Объединенный Резервный Банк;937;Москва и обл.;47,48;48,63;-1,15;
45;1;Авангард;2879;Москва и обл.;47,34;46,32;1,02;
46;5;ЮМК Банк;3495;Краснодарский край;46,24;42,96;3,28;
47;7;Внешфинбанк;3173;Краснодарский край;44,33;41,84;2,49;
48;1;Классик Эконом Банк;3298;Северная Осетия — Алания;43,72;43,97;-0,24;
49;4;Энергобанк;67;Татарстан;41,89;42,57;-0,68;
50;-8;Система;2846;Москва и обл.;41,81;48,92;-7,10;
51;4;Лэнд Кредит;1478;Москва и обл.;41,67;41,29;0,38;
52;-2;Экси-Банк;2530;Санкт-Петербург и обл.;41,57;43,32;-1,75;
53;3;Русский Стандарт;2289;Москва и обл.;40,80;40,92;-0,12;
54;3;Вакобанк;1291;Псковская обл.;40,59;40,26;0,33;
55;5;Нальчик;695;Кабардино-Балкария;40,27;39,21;1,07;
56;-4;Москоммерцбанк;3365;Москва и обл.;40,12;42,60;-2,49;
57;2;Сервис Резерв;2034;Москва и обл.;39,67;39,34;0,34;
58;8;Витабанк;356;Санкт-Петербург и обл.;39,55;37,14;2,40;
59;-1;Промтрансбанк;2638;Башкортостан;39,42;39,39;0,03;
60;11;СКБ-Банк;705;Свердловская обл.;38,72;34,65;4,07;
61;6;Модульбанк;1927;Костромская обл.;37,98;36,94;1,03;
62;0;Московский Областной Банк;1751;Москва и обл.;37,94;37,96;-0,02;
63;2;Гефест;1046;Тверская обл.;37,73;37,22;0,51;
64;-1;РФИ Банк;3351;Москва и обл.;37,59;37,71;-0,13;
65;-1;Алеф-Банк;2119;Москва и обл.;36,61;37,44;-0,83;
66;2;Россита-Банк;3257;Москва и обл.;35,70;35,87;-0,16;
67;5;Интерпромбанк;3266;Москва и обл.;34,97;34,54;0,44;
68;11;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;34,26;31,45;2,81;
69;4;Снежинский;1376;Челябинская обл.;34,15;34,11;0,04;
70;4;Черноморский банк развития и реконструкции;3527;Симферополь;33,78;33,93;-0,15;
71;-1;Азия-Инвест Банк;3303;Москва и обл.;33,70;35,08;-1,38;
72;-3;РБА;3413;Москва и обл.;33,38;35,47;-2,09;
73;24;Эко-Инвест;3116;Москва и обл.;33,19;24,66;8,53;
74;-13;Алтынбанк;2070;Татарстан;33,18;38,37;-5,18;
75;3;Национальный Резервный Банк;2170;Москва и обл.;32,19;31,83;0,35;
76;5;Балтинвестбанк;3176;Санкт-Петербург и обл.;32,19;31,37;0,81;
77;-2;Инвестторгбанк;2763;Москва и обл.;32,05;32,76;-0,71;
78;2;Заубер Банк;1614;Санкт-Петербург и обл.;31,16;31,37;-0,21;
79;4;Восточный Банк;1460;Амурская обл.;31,04;30,62;0,42;
80;4;Аресбанк;2914;Москва и обл.;30,88;30,53;0,35;
81;1;Ермак;1809;Ханты-Мансийский АО — Югра;30,67;31,11;-0,43;
82;7;Социум-Банк;2881;Москва и обл.;28,62;27,45;1,17;
83;10;Великие Луки Банк;598;Псковская обл.;28,45;26,11;2,34;
84;3;РусьРегионБанк;685;Москва и обл.;28,12;28,12;0,00;
85;1;Йошкар-Ола;2802;Марий Эл;27,96;28,79;-0,83;
86;-9;Уралфинанс;1370;Свердловская обл.;27,64;32,13;-4,49;
87;5;НОКССбанк;3202;Волгоградская обл.;27,24;26,31;0,93;
88;3;Соколовский;2830;Москва и обл.;27,09;26,39;0,71;
89;-4;Банк РМП;2574;Москва и обл.;26,91;29,55;-2,64;
90;4;Донкомбанк;492;Ростовская обл.;26,50;25,71;0,79;
91;4;Форштадт;2208;Оренбургская обл.;25,54;25,51;0,03;
92;-4;Приморье;3001;Приморский край;25,48;27,83;-2,35;
93;7;Торжок (бывш. Торжокуниверсалбанк);933;Тверская обл.;25,37;24,18;1,19;
94;-4;Таганрогбанк;3136;Ростовская обл.;25,08;26,89;-1,81;
95;14;Новый Московский Банк;2932;Москва и обл.;25,03;20,87;4,16;
96;2;Эс-Би-Ай Банк;3185;Москва и обл.;24,67;24,58;0,09;
97;-1;Пойдем!;2534;Москва и обл.;24,38;24,89;-0,51;
98;3;Кетовский Коммерческий Банк;842;Курганская обл.;23,96;24,16;-0,19;
99;9;Горбанк;2982;Санкт-Петербург и обл.;22,90;21,30;1,60;
100;3;Актив Банк;2529;Мордовия;22,07;21,85;0,23;
101;4;Прио-Внешторгбанк;212;Рязанская обл.;21,52;21,38;0,14;
102;4;Консервативный Коммерческий Банк;1087;Астраханская обл.;21,46;21,33;0,13;
103;4;Держава;2738;Москва и обл.;21,41;21,32;0,09;
104;53;Бест Эффортс Банк;435;Москва и обл.;21,38;15,49;5,89;
105;-3;Крокус-Банк;2682;Москва и обл.;21,29;23,59;-2,30;
106;22;Русский Банк Сбережений;779;Ставропольский край;21,21;18,59;2,63;
107;5;Живаго Банк;2065;Рязанская обл.;21,00;20,40;0,60;
108;3;Урал ФД;249;Пермская обл.;20,91;20,64;0,27;
109;8;Дон-Тексбанк;1818;Ростовская обл.;20,91;19,87;1,04;
110;8;Объединенный Капитал;2611;Санкт-Петербург и обл.;20,52;19,82;0,70;
111;-7;Унифондбанк;3416;Москва и обл.;20,50;21,72;-1,22;
112;2;Элита;1399;Калужская обл.;19,99;20,17;-0,18;
113;2;Союз;2307;Москва и обл.;19,95;20,09;-0,14;
114;-1;Солидарность;554;Самарская обл.;19,93;20,22;-0,29;
115;1;Сельмашбанк;106;Ростовская обл.;19,89;19,87;0,02;
116;4;Стройлесбанк;2995;Тюменская обл.;19,88;19,62;0,25;
117;20;Возрождение;1439;Москва и обл.;19,86;17,80;2,06;
118;1;Тайдон;2085;Кемеровская обл.;19,85;19,82;0,03;
119;2;Ренессанс Кредит;3354;Москва и обл.;19,45;19,55;-0,09;
120;13;Русьуниверсалбанк;3293;Москва и обл.;19,33;18,21;1,13;
121;28;МВС Банк;2407;Дагестан;19,23;15,88;3,34;
122;5;ОТП Банк;2766;Москва и обл.;19,22;18,65;0,57;
123;2;ЕАТП Банк;1765;Астраханская обл.;18,80;18,95;-0,14;
124;6;Джей энд Ти Банк;3061;Москва и обл.;18,78;18,44;0,34;
125;-15;Уралпромбанк;2964;Челябинская обл.;18,75;20,70;-1,95;
126;-4;Столичный Кредит;2853;Москва и обл.;18,62;19,41;-0,79;
127;7;Алмазэргиэнбанк;2602;Саха (Якутия);18,30;18,13;0,18;
128;8;Ставропольпромстройбанк;1288;Ставропольский край;18,19;17,83;0,36;
129;-6;Банк ДОМ.РФ;2312;Москва и обл.;18,17;19,36;-1,19;
130;2;Роскосмосбанк;2989;Москва и обл.;18,14;18,24;-0,10;
131;0;Кольцо Урала;65;Свердловская обл.;17,82;18,24;-0,42;
132;6;Нейва;1293;Свердловская обл.;17,75;17,66;0,09;
133;2;Вологжанин;1896;Вологодская обл.;17,75;17,87;-0,12;
134;8;Банк Уралсиб;30;Москва и обл.;17,65;17,05;0,60;
